<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BTCUSD;D;20140316;000000;646.0469000;652.0000000;639.0000000;651.9500000;8
BTCUSD;D;20140317;000000;641.1414900;641.1414900;616.0010100;637.7312800;2
BTCUSD;D;20140318;000000;628.0000000;633.9890000;610.0100000;619.7830800;9
BTCUSD;D;20140319;000000;622.0000000;633.6630000;612.2200000;620.0620000;6
BTCUSD;D;20140320;000000;621.0865900;625.0178800;590.0000000;590.0000000;8
BTCUSD;D;20140321;000000;590.0000000;615.2265400;580.0000000;590.0000000;16
BTCUSD;D;20140322;000000;590.0000000;596.0000000;554.0500000;572.2991800;12
BTCUSD;D;20140323;000000;576.3689700;596.0000000;566.3580400;568.5352100;1
BTCUSD;D;20140324;000000;574.2200000;592.5387100;554.5045400;585.4002500;6
BTCUSD;D;20140325;000000;584.0000000;591.1497300;579.0000000;584.0000000;6
BTCUSD;D;20140326;000000;579.0500000;641.1414900;579.0000000;585.0851000;13
BTCUSD;D;20140327;000000;585.1000000;599.2737800;500.0100000;512.7888000;35
BTCUSD;D;20140328;000000;507.7141800;553.0000000;500.0000000;516.4810700;44
BTCUSD;D;20140329;000000;511.3799100;518.0000000;505.0000000;514.9900000;6
BTCUSD;D;20140330;000000;506.1754900;506.1754900;436.0737500;462.4760100;33
BTCUSD;D;20140331;000000;468.7628500;530.0000000;443.3500000;462.3859300;18
BTCUSD;D;20140401;000000;465.3398400;503.2311100;465.2000000;489.0000000;20
BTCUSD;D;20140402;000000;489.0000000;497.1468000;443.6250000;443.6250000;12
BTCUSD;D;20140403;000000;440.0100000;463.7000000;426.4542100;461.8500000;17
BTCUSD;D;20140404;000000;454.0603400;550.0000000;440.0000000;458.8414800;20
BTCUSD;D;20140405;000000;453.3845500;467.8500000;447.5695300;467.8500000;1
BTCUSD;D;20140406;000000;467.8380000;469.4383400;450.0000000;461.8182700;5
BTCUSD;D;20140407;000000;465.4912500;475.3204900;450.0000000;462.0794600;7
BTCUSD;D;20140408;000000;465.8142000;465.8242000;450.0000000;458.8746900;3
BTCUSD;D;20140409;000000;459.2138700;462.0903100;450.0000000;452.9985300;1
BTCUSD;D;20140410;000000;450.0100000;450.0100000;368.1367300;371.7835000;17
BTCUSD;D;20140411;000000;368.1042700;583.7532700;353.7580400;431.0000000;18
BTCUSD;D;20140412;000000;431.0100000;450.0000000;429.0100100;448.0000000;9
BTCUSD;D;20140413;000000;429.0000100;445.9799900;407.0749100;429.7899000;9
BTCUSD;D;20140414;000000;411.3382800;480.0652700;411.3382800;451.0573600;43
BTCUSD;D;20140415;000000;472.7798400;573.6692700;450.4987800;535.1138800;31
BTCUSD;D;20140416;000000;529.8130900;544.5679400;490.5557800;523.5301700;51
BTCUSD;D;20140417;000000;523.5301700;530.3586200;495.5303600;503.8478900;16
BTCUSD;D;20140418;000000;504.6021900;515.0000000;477.1903500;485.3736800;31
BTCUSD;D;20140419;000000;485.5939000;525.2822500;479.9597100;504.4905400;11
BTCUSD;D;20140420;000000;506.2104500;510.0000000;500.0000000;504.7342200;2
BTCUSD;D;20140421;000000;507.0000000;517.3102400;485.0000000;496.4168300;17
BTCUSD;D;20140422;000000;501.3367600;510.4900000;484.6223900;489.7244300;7
BTCUSD;D;20140423;000000;492.8524300;497.7346100;489.0000000;495.6169900;7
BTCUSD;D;20140424;000000;495.0000000;503.4813200;490.0000100;503.4813200;4
BTCUSD;D;20140425;000000;496.6862300;496.6862300;448.9999900;471.4303700;28
BTCUSD;D;20140426;000000;466.8100100;472.1355700;456.7500000;463.7017200;3
BTCUSD;D;20140427;000000;463.6817000;463.6817000;435.0000000;435.0000000;4
BTCUSD;D;20140428;000000;435.0000000;455.0942000;429.0854000;444.0946600;5
BTCUSD;D;20140429;000000;444.0946600;454.6232800;435.6527000;445.6796700;7
BTCUSD;D;20140430;000000;450.0845600;452.8243800;441.2302800;448.3431800;9
BTCUSD;D;20140501;000000;448.0000000;464.4176700;448.0000000;459.3246900;15
BTCUSD;D;20140502;000000;456.0804400;456.0804400;446.4941100;455.1638100;7
BTCUSD;D;20140503;000000;450.2790000;452.0773700;432.4255000;441.0351400;9
BTCUSD;D;20140504;000000;436.7106600;445.4040100;431.1663900;441.9999900;2
BTCUSD;D;20140505;000000;436.5940500;439.9999900;429.1800000;429.1800000;6
BTCUSD;D;20140506;000000;429.1800000;439.6897400;422.1900000;431.8695200;6
BTCUSD;D;20140507;000000;431.8695100;452.7442200;431.6127400;441.8861500;20
BTCUSD;D;20140508;000000;446.2612200;451.9997600;441.8090000;448.2617400;6
BTCUSD;D;20140509;000000;441.8090000;459.2221400;441.8090000;450.6250300;4
BTCUSD;D;20140510;000000;450.6250300;458.0000000;446.0967000;454.9880400;5
BTCUSD;D;20140511;000000;450.4854400;450.4854400;432.8780500;441.4966900;12
BTCUSD;D;20140512;000000;437.1275800;445.2217100;432.2129900;440.8178600;7
BTCUSD;D;20140513;000000;444.7599000;444.7599000;436.4499900;440.7790000;5
BTCUSD;D;20140514;000000;440.7790000;445.5200000;440.7790000;445.5200000;1
BTCUSD;D;20140515;000000;440.8900200;449.5870400;440.8900100;449.5870400;3
BTCUSD;D;20140516;000000;447.1000000;453.8323600;447.1000000;453.8323600;6
BTCUSD;D;20140517;000000;450.5399900;453.8323600;446.2000100;453.8323600;0
BTCUSD;D;20140518;000000;448.2500100;453.8000500;445.5600000;445.5600000;3
BTCUSD;D;20140520;000000;449.9950000;498.8399600;449.9950000;493.4275100;25
BTCUSD;D;20140521;000000;493.7700000;497.6694100;490.8458300;494.7745400;4
BTCUSD;D;20140522;000000;494.7745400;530.0000000;494.7745400;530.0000000;33
BTCUSD;D;20140523;000000;530.0000000;548.0542300;515.3115200;521.4684900;15
BTCUSD;D;20140524;000000;520.3605000;529.9999900;515.2058700;529.9999900;3
BTCUSD;D;20140525;000000;529.9999900;589.0000000;529.9999900;574.0498300;16
BTCUSD;D;20140526;000000;570.8890400;589.1084700;563.6766700;583.1998900;11
BTCUSD;D;20140527;000000;583.2099000;594.6409800;538.8399200;575.5353700;27
BTCUSD;D;20140528;000000;576.5653400;589.1600000;565.2158900;575.8323200;5
BTCUSD;D;20140529;000000;576.2617100;576.2617100;564.9015500;570.4918000;1
BTCUSD;D;20140530;000000;570.4918100;628.6053400;566.1500600;616.0802000;18
BTCUSD;D;20140531;000000;611.7129000;629.0355000;603.8698600;629.0355000;19
BTCUSD;D;20140601;000000;627.0000000;673.3726300;621.7921700;628.9674600;33
BTCUSD;D;20140602;000000;633.7490900;672.6391900;621.7921700;660.0000000;12
BTCUSD;D;20140603;000000;663.2988300;677.9089800;652.2630900;671.4293800;15
BTCUSD;D;20140604;000000;665.4967000;665.4967000;525.0000000;650.4767400;59
BTCUSD;D;20140605;000000;650.4767400;669.7499500;650.4467200;657.0100000;15
BTCUSD;D;20140606;000000;657.0100000;660.0000000;653.4026600;653.4026700;5
BTCUSD;D;20140607;000000;655.3008000;659.8000000;636.6800800;659.8000000;5
BTCUSD;D;20140608;000000;650.0653300;659.8000000;646.0010000;656.4377300;1
BTCUSD;D;20140609;000000;654.5152400;655.4059300;636.5010900;643.4380100;5
BTCUSD;D;20140610;000000;643.4380100;657.7152300;643.4380100;646.8898600;7
BTCUSD;D;20140611;000000;649.9324100;649.9324100;617.9945300;617.9945300;20
BTCUSD;D;20140612;000000;630.3442100;637.0622500;552.0000100;571.1350600;77
BTCUSD;D;20140613;000000;582.3999900;617.3060000;572.5181900;589.6838600;18
BTCUSD;D;20140614;000000;583.8625700;600.0000000;542.9619700;565.1810000;17
BTCUSD;D;20140615;000000;573.2778200;595.3817700;534.2759000;595.3817700;34
BTCUSD;D;20140616;000000;589.4839900;612.9117700;574.1753200;597.1370000;10
BTCUSD;D;20140617;000000;597.1370200;608.9825600;586.2500000;608.9740000;3
BTCUSD;D;20140618;000000;609.2040000;625.0000000;603.4100000;605.8891200;10
BTCUSD;D;20140619;000000;603.4000000;627.0539500;594.1150000;595.9306200;8
BTCUSD;D;20140620;000000;595.8020300;602.7940000;578.5080000;593.9030800;6
BTCUSD;D;20140621;000000;589.9208400;598.5047900;581.0930000;590.5874000;1
BTCUSD;D;20140622;000000;584.7480000;602.3341400;584.7480000;596.2386500;8
BTCUSD;D;20140623;000000;590.3670100;590.3670100;584.4215300;584.4215300;3
BTCUSD;D;20140624;000000;590.2020000;595.2279400;576.1293500;586.1537200;3
BTCUSD;D;20140625;000000;575.0000000;575.0000100;557.4320000;564.4250000;29
BTCUSD;D;20140626;000000;568.4430100;583.2618000;568.4430100;575.9304500;3
BTCUSD;D;20140627;000000;585.5188100;599.9999900;575.3500000;597.6926600;22
BTCUSD;D;20140628;000000;596.7720700;604.3820000;590.2128100;590.2128100;4
BTCUSD;D;20140629;000000;596.0535300;602.3020000;589.7638500;589.7638500;1
BTCUSD;D;20140630;000000;587.7240000;645.0008800;587.7240000;637.0000000;19
BTCUSD;D;20140701;000000;644.9000000;657.8331900;634.1640000;640.0000000;13
BTCUSD;D;20140702;000000;638.0000000;658.8704600;638.0000000;646.5797300;25
BTCUSD;D;20140703;000000;644.5027800;655.0816100;638.8895000;647.5233500;13
BTCUSD;D;20140704;000000;647.5233500;652.7899900;622.5950100;635.2525300;3
BTCUSD;D;20140705;000000;628.2670000;634.6070000;618.0000000;628.9873200;4
BTCUSD;D;20140706;000000;629.5000000;639.4879800;629.0980100;629.0980100;2
BTCUSD;D;20140707;000000;627.6240100;638.9730000;614.7412100;625.9885900;6
BTCUSD;D;20140708;000000;620.7504100;626.8745200;614.7419500;617.0370300;1
BTCUSD;D;20140709;000000;615.3504400;627.8963600;615.3504400;627.8963600;2
BTCUSD;D;20140710;000000;632.1083400;632.1083400;614.4729900;614.4729900;1
BTCUSD;D;20140711;000000;618.0000000;629.4561000;614.8134300;629.4561000;2
BTCUSD;D;20140712;000000;631.6456400;639.3815800;631.5874400;639.3815800;1
BTCUSD;D;20140713;000000;632.0000000;653.4900000;625.2878500;626.5008500;1
BTCUSD;D;20140714;000000;629.9500100;632.6704600;618.1432200;626.2334300;1
BTCUSD;D;20140715;000000;620.0269800;620.0269800;620.0269800;620.0269800;0
BTCUSD;D;20140716;000000;620.0269700;626.1627600;612.8994200;625.2239900;7
BTCUSD;D;20140717;000000;625.2240000;630.0099700;610.3474600;624.9798900;1
BTCUSD;D;20140718;000000;624.5599900;628.9999900;615.1705400;625.9990000;12
BTCUSD;D;20140719;000000;628.9999900;630.0000000;628.9999900;630.0000000;2
BTCUSD;D;20140720;000000;629.9989900;629.9989900;619.0000000;619.0000000;1
BTCUSD;D;20140721;000000;629.7687500;629.7687500;629.7687500;629.7687500;0
BTCUSD;D;20140722;000000;618.6881900;618.6881900;618.6881800;618.6881800;8
BTCUSD;D;20140723;000000;623.9800000;623.9800000;610.0000000;618.6214600;7
BTCUSD;D;20140724;000000;612.5000000;623.4307800;593.8645300;605.6364600;18
BTCUSD;D;20140725;000000;600.0000100;623.2226800;593.8005000;596.0821700;9
BTCUSD;D;20140726;000000;596.2143100;607.9552800;593.8010000;600.0000000;5
BTCUSD;D;20140727;000000;600.0000000;600.0000000;600.0000000;600.0000000;0
BTCUSD;D;20140728;000000;593.8010100;599.9999900;574.5786400;591.9012400;4
BTCUSD;D;20140729;000000;586.5000000;597.6646800;575.0711000;583.2090200;3
BTCUSD;D;20140730;000000;577.4418200;588.9804300;566.7512100;566.7512100;12
BTCUSD;D;20140731;000000;573.1380700;591.9492000;567.6281600;590.1668000;33
BTCUSD;D;20140801;000000;590.0969900;602.3614600;584.7737400;596.4000000;3
BTCUSD;D;20140802;000000;596.4000000;601.1807300;590.4867000;590.4867000;3
BTCUSD;D;20140803;000000;594.8013100;594.8013600;578.8562900;578.8562900;2
BTCUSD;D;20140804;000000;579.3295100;596.2458000;579.3295100;596.2453200;4
BTCUSD;D;20140805;000000;584.5743300;598.0340500;579.0001900;579.0001900;9
BTCUSD;D;20140807;000000;584.2676700;593.0000100;577.2386400;580.5835400;17
BTCUSD;D;20140808;000000;589.7409200;590.0000000;583.9190600;590.0000000;0
BTCUSD;D;20140809;000000;583.9390800;590.0000000;578.1350300;590.0000000;8
BTCUSD;D;20140810;000000;590.0000000;595.3554800;583.2416300;583.2416300;2
BTCUSD;D;20140811;000000;589.6136600;595.3644600;572.7659300;572.7659300;0
BTCUSD;D;20140812;000000;572.7659300;579.9977100;566.9900100;579.9977100;4
BTCUSD;D;20140813;000000;571.7010300;571.7010300;531.6361800;535.0805600;4
BTCUSD;D;20140814;000000;535.0000100;553.8341000;501.0000000;523.7587200;32
BTCUSD;D;20140815;000000;525.0000000;530.0000000;501.0000000;529.9999900;24
BTCUSD;D;20140816;000000;501.1000000;529.8500000;500.0000000;503.5200000;11
BTCUSD;D;20140817;000000;514.0000000;539.9946200;500.0000000;500.0000000;3
BTCUSD;D;20140818;000000;500.0000100;505.0000000;455.0000000;455.0000000;29
BTCUSD;D;20140819;000000;479.9979900;500.5000000;460.3000000;474.0200100;78
BTCUSD;D;20140820;000000;495.0000000;530.0000000;477.0000000;530.0000000;14
BTCUSD;D;20140821;000000;530.0000000;530.0000000;500.0064200;505.0000000;5
BTCUSD;D;20140822;000000;529.9650600;529.9650600;482.2155700;529.9538500;10
BTCUSD;D;20140823;000000;529.9543700;529.9543700;482.2745800;524.9999900;1
BTCUSD;D;20140824;000000;524.8799900;524.8799900;524.8799900;524.8799900;1
BTCUSD;D;20140825;000000;500.0000000;524.8799800;490.1004200;516.1174200;27
BTCUSD;D;20140827;000000;524.8542100;524.8542100;524.8535800;524.8535800;1
BTCUSD;D;20140828;000000;495.0827500;495.0827500;495.0827500;495.0827500;0
BTCUSD;D;20140829;000000;524.7873300;524.8755100;524.7873300;524.8754300;1
BTCUSD;D;20140830;000000;495.2597300;524.7699800;495.2597300;524.2660300;0
